landkreis,lat,lon
Baden-Baden,48.76645,8.23503
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.76377,8.23774
Baden-Baden,48.7616,8.24017
Baden-Baden,48.7663,8.23457
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.75962,8.24035
Baden-Baden,48.76176,8.23942
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.7663,8.23457
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.76251,8.24273
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.7847099,8.21645
Baden-Baden,48.76213,8.23861
Baden-Baden,48.7647,8.23504
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.7626,8.24371
Baden-Baden,48.78783,8.19244
Baden-Baden,48.78783,8.19244
Baden-Baden,48.72602,8.175649900000002
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.76419,8.247
Baden-Baden,48.769009999999994,8.23369
Baden-Baden,48.74606,8.25582
Baden-Baden,48.7647,8.23504
Baden-Baden,48.7616,8.24115
Baden-Baden,48.7616,8.24115
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.76282,8.2441099
Baden-Baden,48.7616,8.24115
Baden-Baden,48.7647,8.23504
Baden-Baden,48.76419,8.247
Baden-Baden,48.75897,8.24129
Baden-Baden,48.76088,8.24018
Baden-Baden,48.77043,8.22662
Baden-Baden,48.76054,8.239410000000001
Baden-Baden,48.76419,8.247
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.76419,8.247
Baden-Baden,48.78567,8.20457
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.76419,8.247
Baden-Baden,48.76419,8.247
Baden-Baden,48.76419,8.247
Baden-Baden,48.78841,8.19181
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.76419,8.247
Baden-Baden,48.76419,8.247
Baden-Baden,48.75897,8.24129
Baden-Baden,48.73128,8.25779
Baden-Baden,48.761390000000006,8.24052
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.76419,8.247
Baden-Baden,48.76947,8.231489999999999
Baden-Baden,48.77789,8.21764
Biberach,48.22799,9.8853
Biberach,48.09968,9.79107
Biberach,48.23266,9.88839
Biberach,48.09964,9.79096
Biberach,48.23266,9.88839
Biberach,48.23266,9.88839
Biberach,48.09487,9.7746099
Biberach,48.00295,9.82544
Biberach,48.16145,9.48003
Biberach,48.16145,9.48003
Biberach,48.09953,9.7910299
Biberach,48.16033,9.47837
Biberach,48.23266,9.88839
Biberach,48.15497,9.46854
Biberach,48.09487,9.7746099
Biberach,48.06853,9.95234
Biberach,48.15299,9.47453
Biberach,48.09085,9.79219
Biberach,48.09173,9.79128
Biberach,48.23751,9.89147
Biberach,48.16145,9.48003
Biberach,48.09173,9.79128
Biberach,48.16145,9.48003
Biberach,48.09487,9.7746099
Biberach,48.08307,9.78738
Biberach,48.232659999999996,9.88839
Biberach,48.0981,9.79407
Biberach,48.09648,9.77379
Biberach,48.09718,9.789
Biberach,48.09648,9.77379
Biberach,48.1006799,9.78947
Biberach,48.1002,9.789769999999999
Biberach,48.101279999999996,9.792119999999999
Biberach,48.08552,9.79395
Biberach,48.07298,9.95358
Biberach,48.1002,9.789769999999999
Biberach,48.09778,9.78815
Biberach,48.0954597,9.789757
Biberach,48.22929,9.88408
Biberach,48.1002,9.789769999999999
Biberach,48.23064,9.88368
Biberach,48.09961,9.79296
Biberach,48.09778,9.78815
Biberach,48.09648,9.77379
Biberach,48.08552,9.79395
Biberach,48.09961,9.79296
Biberach,48.08552,9.79395
Biberach,48.10261,9.79528
Biberach,48.232659999999996,9.88839
Biberach,48.09648,9.77379
Biberach,48.07105,9.95107
Biberach,48.09961,9.79296
Biberach,48.10122,9.78443
Biberach,48.09785,9.775139999999999
Biberach,48.12408,9.76356
Biberach,48.09986,9.76843
Biberach,48.064809999999994,9.61098
Biberach,48.084759999999996,9.78754
Biberach,48.09636,9.78711
Biberach,48.09961,9.79296
Biberach,48.070479999999996,9.95083
Biberach,48.10047,9.78856
Biberach,48.09995,9.7928599
Biberach,47.99747,9.654580000000001
Biberach,48.084759999999996,9.78754
Biberach,48.09663,9.78665
Biberach,48.099826799999995,9.7888259
Biberach,48.07985,10.12953
Biberach,48.09882,9.78698
Biberach,48.09961,9.79296
Biberach,48.2291,9.87994
Biberach,48.22613,9.823030000000001
Biberach,48.098239899999996,9.79003
Biberach,48.084759999999996,9.78754
Biberach,48.10073,9.788889999999999
Biberach,48.09648,9.77379
Biberach,48.15355,9.475589999999999
Biberach,48.00993,9.649989999999999
Biberach,48.22866,9.8829
Biberach,48.23751,9.89147
Biberach,48.09663,9.78665
Biberach,48.0987,9.78682
Biberach,48.16033,9.47837
